id;email;id_certificate;start_dt;end_dt
1;Abraham_Dicki@yahoo.com;94546;2020-11-05T18:38:16;2020-11-05T17:33:06
2;Mathilde7@yahoo.com;74518;2020-11-06T10:27:23;2020-11-06T04:29:14
3;Cruz_Schowalter3@hotmail.com;36815;2020-11-06T12:10:19;2020-11-06T10:38:43
4;Coy.McCullough@yahoo.com;50278;2020-11-05T16:44:35;2020-11-06T10:17:53
5;Madyson.Klein98@hotmail.com;70323;2020-11-06T04:34:56;2020-11-05T21:14:32
6;Janie_Parisian@hotmail.com;27746;2020-11-05T21:13:24;2020-11-06T09:30:49
7;Lucius_Hauck50@hotmail.com;84773;2020-11-05T19:36:36;2020-11-05T21:44:09
8;Aidan.Hoeger@yahoo.com;83054;2020-11-06T08:07:29;2020-11-05T18:41:21
9;Alycia.Fadel@hotmail.com;53536;2020-11-06T04:53:04;2020-11-05T17:07:36
10;Donavon_Wolff@hotmail.com;16853;2020-11-05T14:58:12;2020-11-06T12:23:17
